title,category,genre,year,direct,actors,content
선생 김봉두,극영화,"드라마,코메디",2003,장규성,"장규성,이원형","강원도,뇌물,돈봉투,시골분교,재개발,특별과외,폐교,담임선생님,불량선생,선생,선생님,초등학교선생,교사,초등학교교사,총각교사,대기발령,까막눈,전학,도시,서울,서울상경,서울생활"
보리울의 여름,극영화,"드라마,코메디",2003,이민용,이만희,"성당,수녀,스님,신부,축구,아버지와아들,아빠와아들,부자관계,부자지간,코치,절,축구선수,축구감독,시골마을,시골생활"
헝거게임: 캣칭 파이어,극영화,"판타지,액션",2013,프란시스 로렌스,"마이클 안트,사이몬 비우포이","게임,독재정권,생존,승리,우승,미국소설원작,소설원작"
대부 - 끝나지 않은 이야기 ,극영화,"드라마,스릴러",2011,올리비에 마르샬,올리비에 마르샬,"집시,마약거래,교도소,탈출"
밀프,극영화,코메디,2010,스캇 휠러,에릭 이스튼버그,"대학교,단짝친구,성경험"
지.지.지,극영화,"범죄,스릴러",2011,마이클 위닉,마이클 위닉,"도난,가면,정의의사도,찾기"
아수라,애니메이션,공포,2012,사토 케이이치,타카하시 이쿠코,"살인,생존본능,식인,만화원작,애니메이션"
마리 크뢰이어,극영화,"드라마,로맨스",2012,빌 어거스트,피터 아스무센,"덴마크,결혼생활,연하의남자,선택"
리무브드,극영화,"스릴러,액션,공포",2012,데이빗 맥클로이,"데이빗 맥클로이,마크 메넷","임상시험,병원,희생"
우리 엄마는 돌리파튼,극영화,"드라마,코메디",2011,타라 존스,타라 존스,"소녀,엄마,진실,엄마와딸,새엄마"
나에게서 온 편지,극영화,"드라마,코메디",2012,카린느 타르디유,카린느 타르디유,"말괄량이,소녀,코미디,개학,친구"
오로라공주,극영화,"드라마,범죄,스릴러",2005,방은진,서민희,"모성,모성애,복수,복수살인,성폭행,엄마,연쇄살인,엄마와딸,딸의죽음,복수극,아동성폭행,미성년자성폭행"
생산적 활동,극영화,"드라마,코메디",2003,오점균,조마리,"단편영화,데이트,독립영화,성욕,땀,생산,20대,커플,섹스,빈집,고난,극복"
동갑내기 과외하기,극영화,"드라마,코메디",2003,김경형,박연선(김경형),"강남8학군,강남구대치동,고교생,고등학생,과외,과외선생,대학생,동갑,등록금,몸짱,벼락부자,복학생,소설원작,스티커사진,실직,얼짱,오토바이,인터넷소설원작,제자,특별과외,과외선생님,시리즈"
쇼쇼쇼,극영화,"드라마,로맨스,코메디",2002,김정호,"김정호,강영숙,한희정","1970년대,고고장,곤봉,데뷰작,디스코,칵테일바,군인가정,군인가족,양아치,노름,술집,미친여자,선술집,칵테일,막걸리,국내최초"
